jurisdiccion,entidad,programa,actividad,credito_original,aumento, marcar_hijos_con_posible_reasignacion 
Poder Legislativo Nacional,Poder Legislativo Nacional,16 - Formación y Sanción de Leyes Nacionales,01 - Formación y Sanción de Leyes Nacionales,5051022000,,
Poder Legislativo Nacional,Poder Legislativo Nacional,17 - Formación y Sanción Legislativa,01 - Formación y Sanción Legislativa,3974125400,,
Poder Legislativo Nacional,Poder Legislativo Nacional,17 - Formación y Sanción Legislativa,02 - Círculo de Legisladores de la Nación,7179600,,
Poder Legislativo Nacional,Poder Legislativo Nacional,18 - Asistencia Bibliográfica,00 - Asistencia Bibliográfica,,,
Poder Legislativo Nacional,Poder Legislativo Nacional,18 - Asistencia Bibliográfica,01 - Asistencia Bibliográfica,1032268114,,
Poder Legislativo Nacional,Poder Legislativo Nacional,19 - Impresiones y Publicaciones Parlamentarias,00 - Impresiones y Publicaciones Parlamentarias,,,
Poder Legislativo Nacional,Poder Legislativo Nacional,19 - Impresiones y Publicaciones Parlamentarias,01 - Impresiones y Publicaciones Parlamentarias,338768800,,
Poder Legislativo Nacional,Poder Legislativo Nacional,19 - Impresiones y Publicaciones Parlamentarias,"00 - Construcción Edificio, Planta de Producción, Oficinas Administrativas y Depósito para la Imprenta del Congreso de la Nación",20399200,,
Poder Legislativo Nacional,Poder Legislativo Nacional,20 - Asistencia Social Integral al Personal del Congreso de la Nación,00 - Asistencia Social Integral al Personal del Congreso de la Nación,,,
Poder Legislativo Nacional,Poder Legislativo Nacional,20 - Asistencia Social Integral al Personal del Congreso de la Nación,01 - Asistencia Social Integral al Personal del Congreso de la Nación,595421000,,
Poder Legislativo Nacional,Poder Legislativo Nacional,20 - Asistencia Social Integral al Personal del Congreso de la Nación,00 - Ampliación y Mejoramiento Edificio Avenida Entre Ríos 177 - Ciudad Autónoma de Buenos Aires,6000000,,
Poder Legislativo Nacional,Poder Legislativo Nacional,21 - Defensa de los Derechos de los Ciudadanos,00 - Defensa de los Derechos de los Ciudadanos,,,
Poder Legislativo Nacional,Poder Legislativo Nacional,21 - Defensa de los Derechos de los Ciudadanos,01 - Defensa de los Derechos de los Ciudadanos,284011000,,
Poder Legislativo Nacional,Poder Legislativo Nacional,22 - Revisión de Cuentas Nacionales,01 - Revisión de Cuentas Nacionales,9520000,,
Poder Legislativo Nacional,Poder Legislativo Nacional,23 - Revisión de Cuentas Nacionales,01 - Revisión de Cuentas Nacionales,12380000,,
Poder Legislativo Nacional,Poder Legislativo Nacional,25 - Control Parlamentario sobre el Funcionamiento del Sistema de Inteligencia,01 - Control Parlamentario sobre el Funcionamiento del Sistema de Inteligencia,10600000,,
