jurisdiccion,entidad,programa,actividad,credito_original,aumento,marcar_hijos_con_posible_reasignacion
Poder Legislativo Nacional,Poder Legislativo Nacional,,,,550000000,si
Poder Legislativo Nacional,Poder Legislativo Nacional,16 - Formación y Sanción de Leyes Nacionales,01 - Formación y Sanción de Leyes Nacionales,5297263658,?,si
Poder Legislativo Nacional,Poder Legislativo Nacional,17 - Formación y Sanción Legislativa,01 - Formación y Sanción Legislativa,5543546750,?,si
Poder Legislativo Nacional,Poder Legislativo Nacional,17 - Formación y Sanción Legislativa,02 - Círculo de Legisladores de la Nación,7180000,?,si
Poder Legislativo Nacional,Poder Legislativo Nacional,18 - Asistencia Bibliográfica,01 - Asistencia Bibliográfica,1378657700,?,si
Poder Legislativo Nacional,Poder Legislativo Nacional,19 - Impresiones y Publicaciones Parlamentarias,01 - Impresiones y Publicaciones Parlamentarias,399934916,?,si
Poder Legislativo Nacional,Poder Legislativo Nacional,19 - Impresiones y Publicaciones Parlamentarias,"00 - Construcción Edificio, Planta de Producción, Oficinas Administrativas y Depósito para la Imprenta del Congreso de la Nación",21857120,?,si
Poder Legislativo Nacional,Poder Legislativo Nacional,20 - Asistencia Social Integral al Personal del Congreso de la Nación,01 - Asistencia Social Integral al Personal del Congreso de la Nación,863412612,?,si
Poder Legislativo Nacional,Poder Legislativo Nacional,20 - Asistencia Social Integral al Personal del Congreso de la Nación,00 - Ampliación y Mejoramiento Edificio Avenida Entre Ríos 177 - Ciudad Autónoma de Buenos Aires,22000000,?,si
Poder Legislativo Nacional,Poder Legislativo Nacional,21 - Defensa de los Derechos de los Ciudadanos,01 - Defensa de los Derechos de los Ciudadanos,416460940,?,si
Poder Legislativo Nacional,Poder Legislativo Nacional,22 - Revisión de Cuentas Nacionales,01 - Revisión de Cuentas Nacionales,12852000,?,si
Poder Legislativo Nacional,Poder Legislativo Nacional,23 - Revisión de Cuentas Nacionales,01 - Revisión de Cuentas Nacionales,12380000,?,si
Poder Legislativo Nacional,Poder Legislativo Nacional,25 - Control Parlamentario sobre el Funcionamiento del Sistema de Inteligencia,01 - Control Parlamentario sobre el Funcionamiento del Sistema de Inteligencia,19440000,?,si
Poder Legislativo Nacional,Poder Legislativo Nacional,26 - Protección de los Derechos del Interno Penitenciario,01 - Protección de los Derechos del Interno Penitenciario,268908000,?,si
Poder Legislativo Nacional,Poder Legislativo Nacional,27 - Monitoreo e Implementación del Nuevo Código Procesal Penal de la Nación,01 - Monitoreo e Implementación del Nuevo Código Procesal Penal de la Nación,33750000,?,si
Poder Legislativo Nacional,Poder Legislativo Nacional,30 - Fortalecimiento Institucional,01 - Fortalecimiento Institucional del Senado de la Nación,6617950,?,si
Poder Legislativo Nacional,Poder Legislativo Nacional,31 - Control Parlamentario de Seguimiento de Trámite Legislativo,01 - Control Parlamentario de Seguimiento de Trámite Legislativo,9045000,?,si
Poder Legislativo Nacional,Poder Legislativo Nacional,32 - Control Parlamentario de Los Fondos de la Seguridad Social,01 - Control Parlamentario de Los Fondos de la Seguridad Social,14474700,?,si
Poder Legislativo Nacional,Poder Legislativo Nacional,33 - Promoción y Seguimiento de la Comunicación Audiovisual,01 - Promoción y Seguimiento de la Comunicación Audiovisual,10800000,?,si
Poder Legislativo Nacional,Poder Legislativo Nacional,36 - Defensa del Público de Servicios de Comunicación Audiovisual,01 - Defensa del Público de Servicios de Comunicación Audiovisual,145105000,?,si
Poder Legislativo Nacional,Auditoría General de la Nación,16 - Control Externo del Sector Público Nacional,01 - Control Externo de Gestión del Sector Público No Financiero,115141254,?,si
Poder Legislativo Nacional,Auditoría General de la Nación,16 - Control Externo del Sector Público Nacional,02 - Control Externo Entes Reguladores y Empresas Prestadoras de Servicios Públicos,110169011,?,si
Poder Legislativo Nacional,Auditoría General de la Nación,16 - Control Externo del Sector Público Nacional,03 - Control Externo del Sector Financiero y Recursos,119062554,?,si
Poder Legislativo Nacional,Auditoría General de la Nación,16 - Control Externo del Sector Público Nacional,04 - Control Externo de la Deuda Pública,122324355,?,si
